FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,LEAN
620,577,187,134,39,0,0,1,0
444,600,55,137,0,0,10,57,0
449,439,178,144,0,0,0,6,0
470,534,163,52,14,6,0,0,0
459,579,131,58,8,0,3,3,0
489,577,162,76,0,0,4,6,0
495,597,146,72,0,0,6,7,0
466,438,156,172,0,7,0,0,0
0,484,185,201,8,6,0,1,0
488,515,193,177,0,0,2,8,0
510,523,205,185,8,10,0,0,0
525,523,190,104,9,0,0,6,0
520,546,189,100,7,0,2,6,0
540,538,216,143,8,4,0,0,0
536,536,220,193,8,8,0,0,0
541,548,195,200,0,0,1,8,0
536,541,218,212,0,0,0,7,0
537,537,207,169,0,4,0,6,0
536,529,195,131,0,0,7,10,0
539,536,202,145,0,0,7,9,0
534,521,180,148,8,6,2,7,0
537,526,193,164,8,9,1,6,0
540,527,197,172,7,8,1,4,0
548,537,193,176,7,6,7,5,0
530,530,187,170,8,6,0,4,0
531,520,189,162,9,5,6,6,0
536,526,200,168,8,6,5,7,0
540,528,204,174,10,8,5,7,0
541,532,201,162,8,6,6,3,0
538,547,219,148,5,0,5,6,0
548,550,227,152,6,0,6,6,0
551,553,230,151,6,0,5,6,0
554,555,233,155,7,0,6,6,0
554,556,232,157,6,1,6,6,0
554,556,226,151,7,0,5,6,0
557,557,233,155,7,2,6,4,0
558,558,232,153,6,2,6,5,0
559,559,235,155,7,0,7,3,0
560,559,234,154,6,2,9,0,0
561,559,237,155,7,1,7,0,0
561,560,233,154,7,1,8,1,0
561,559,233,153,7,4,7,3,0
562,560,233,154,7,5,8,4,0
563,560,231,155,8,6,8,3,0
564,559,235,156,7,2,7,2,0
565,560,232,154,7,2,7,1,0
565,563,231,154,8,4,7,3,0
566,562,221,149,7,5,7,4,0
567,563,214,149,7,3,7,4,0
567,564,219,149,6,3,7,7,0
570,564,226,155,7,3,6,6,0
570,565,220,158,7,4,9,0,0
570,564,227,163,7,5,9,1,0
573,563,224,160,8,7,6,6,0
564,701,142,118,0,0,0,0,0
581,539,241,195,7,1,0,0,0
498,532,157,199,10,5,0,6,0
494,577,157,117,28,1,11,0,0
515,526,202,136,67,8,0,0,0
